Timestamp,"Corrente A","Corrente B","Corrente C","Potencia","Tensao A","Tensao B","Tensao C","energy cost 1","energy cost 2","energy cost 3"
"31/08/2018 23:00:00",,,,,,,,,,
"31/08/2018 23:30:00",,,,,,,,,,
"01/09/2018 00:00:00",,,,,,,,,,
"01/09/2018 00:30:00",,,,,,,,,,
"01/09/2018 01:00:00",,,,,,,,,,
"01/09/2018 01:30:00",,,,,,,,,,
"01/09/2018 02:00:00",,,,,,,,,,
"01/09/2018 02:30:00",,,,,,,,,,
"01/09/2018 03:00:00",,,,,,,,,,
"01/09/2018 03:30:00",,,,,,,,,,
"01/09/2018 04:00:00",,,,,,,,,,
"01/09/2018 04:30:00",,,,,,,,,,
"01/09/2018 05:00:00",,,,,,,,,,
"01/09/2018 05:30:00",,,,,,,,,,
"01/09/2018 06:00:00",,,,,,,,,,
"01/09/2018 06:30:00",,,,,,,,,,
"01/09/2018 07:00:00",,,,,,,,,,
"01/09/2018 07:30:00",,,,,,,,,,
"01/09/2018 08:00:00",,,,,,,,,,
"01/09/2018 08:30:00",,,,,,,,,,
"01/09/2018 09:00:00",,,,,,,,,,
"01/09/2018 09:30:00",,,,,,,,,,
"01/09/2018 10:00:00",,,,,,,,,,
"01/09/2018 10:30:00",,,,,,,,,,
"01/09/2018 11:00:00",,,,,,,,,,
"01/09/2018 11:30:00",,,,,,,,,,
"01/09/2018 12:00:00",,,,,,,,,,
"01/09/2018 12:30:00",,,,,,,,,,
"01/09/2018 13:00:00",,,,,,,,,,
"01/09/2018 13:30:00",,,,,,,,,,
"01/09/2018 14:00:00",,,,,,,,,,
"01/09/2018 14:30:00",,,,,,,,,,
"01/09/2018 15:00:00",,,,,,,,,,
"01/09/2018 15:30:00",,,,,,,,,,
"01/09/2018 16:00:00",,,,,,,,,,
"01/09/2018 16:30:00",,,,,,,,,,
"01/09/2018 17:00:00",,,,,,,,,,
"01/09/2018 17:30:00",,,,,,,,,,
"01/09/2018 18:00:00",,,,,,,,,,
"01/09/2018 18:30:00",,,,,,,,,,
"01/09/2018 19:00:00",,,,,,,,,,
"01/09/2018 19:30:00",,,,,,,,,,
"01/09/2018 20:00:00",,,,,,,,,,
"01/09/2018 20:30:00",,,,,,,,,,
"01/09/2018 21:00:00",,,,,,,,,,
"01/09/2018 21:30:00",,,,,,,,,,
"01/09/2018 22:00:00",,,,,,,,,,
"01/09/2018 22:30:00",,,,,,,,,,
"01/09/2018 23:00:00",,,,,,,,,,
"01/09/2018 23:30:00",,,,,,,,,,
"02/09/2018 00:00:00",,,,,,,,,,
"02/09/2018 00:30:00",,,,,,,,,,
"02/09/2018 01:00:00",,,,,,,,,,
"02/09/2018 01:30:00",,,,,,,,,,
"02/09/2018 02:00:00",,,,,,,,,,
"02/09/2018 02:30:00",,,,,,,,,,
"02/09/2018 03:00:00",,,,,,,,,,
"02/09/2018 03:30:00",,,,,,,,,,
"02/09/2018 04:00:00",,,,,,,,,,
"02/09/2018 04:30:00",,,,,,,,,,
"02/09/2018 05:00:00",,,,,,,,,,
"02/09/2018 05:30:00",,,,,,,,,,
"02/09/2018 06:00:00",,,,,,,,,,
"02/09/2018 06:30:00",,,,,,,,,,
"02/09/2018 07:00:00",,,,,,,,,,
"02/09/2018 07:30:00",,,,,,,,,,
"02/09/2018 08:00:00",,,,,,,,,,
"02/09/2018 08:30:00",,,,,,,,,,
"02/09/2018 09:00:00",,,,,,,,,,
"02/09/2018 09:30:00",,,,,,,,,,
"02/09/2018 10:00:00",,,,,,,,,,
"02/09/2018 10:30:00",,,,,,,,,,
"02/09/2018 11:00:00",,,,,,,,,,
"02/09/2018 11:30:00",,,,,,,,,,
"02/09/2018 12:00:00",,,,,,,,,,
"02/09/2018 12:30:00",,,,,,,,,,
"02/09/2018 13:00:00",,,,,,,,,,
"02/09/2018 13:30:00",,,,,,,,,,
"02/09/2018 14:00:00",,,,,,,,,,
"02/09/2018 14:30:00",,,,,,,,,,
"02/09/2018 15:00:00",,,,,,,,,,
"02/09/2018 15:30:00",,,,,,,,,,
"02/09/2018 16:00:00",,,,,,,,,,
"02/09/2018 16:30:00",,,,,,,,,,
"02/09/2018 17:00:00",,,,,,,,,,
"02/09/2018 17:30:00",,,,,,,,,,
"02/09/2018 18:00:00",,,,,,,,,,
"02/09/2018 18:30:00",,,,,,,,,,
"02/09/2018 19:00:00",,,,,,,,,,
"02/09/2018 19:30:00",,,,,,,,,,
"02/09/2018 20:00:00",,,,,,,,,,
"02/09/2018 20:30:00",,,,,,,,,,
"02/09/2018 21:00:00",,,,,,,,,,
"02/09/2018 21:30:00",,,,,,,,,,
"02/09/2018 22:00:00",,,,,,,,,,
"02/09/2018 22:30:00",,,,,,,,,,
"02/09/2018 23:00:00",,,,,,,,,,
"02/09/2018 23:30:00",,,,,,,,,,
"03/09/2018 00:00:00",,,,,,,,,,
"03/09/2018 00:30:00",,,,,,,,,,
"03/09/2018 01:00:00",,,,,,,,,,
"03/09/2018 01:30:00",,,,,,,,,,
"03/09/2018 02:00:00",,,,,,,,,,
"03/09/2018 02:30:00",,,,,,,,,,
"03/09/2018 03:00:00",,,,,,,,,,
"03/09/2018 03:30:00",,,,,,,,,,
"03/09/2018 04:00:00",,,,,,,,,,
"03/09/2018 04:30:00",,,,,,,,,,
"03/09/2018 05:00:00",,,,,,,,,,
"03/09/2018 05:30:00",,,,,,,,,,
"03/09/2018 06:00:00",,,,,,,,,,
"03/09/2018 06:30:00",,,,,,,,,,
"03/09/2018 07:00:00",,,,,,,,,,
"03/09/2018 07:30:00",,,,,,,,,,
"03/09/2018 08:00:00",,,,,,,,,,
"03/09/2018 08:30:00",,,,,,,,,,
"03/09/2018 09:00:00",,,,,,,,,,
"03/09/2018 09:30:00",,,,,,,,,,
"03/09/2018 10:00:00",,,,,,,,,,
"03/09/2018 10:30:00",,,,,,,,,,
"03/09/2018 11:00:00",,,,,,,,,,
"03/09/2018 11:30:00",,,,,,,,,,
"03/09/2018 12:00:00",,,,,,,,,,
"03/09/2018 12:30:00",,,,,,,,,,
"03/09/2018 13:00:00",,,,,,,,,,
"03/09/2018 13:30:00",,,,,,,,,,
