Timestamp," Edificio: Corrente A","Edificio: Corrente B","Edificio: Corrente C","Edificio: Potencia","Edificio: Tensao A","Edificio: Tensao B","Edificio: Tensao C","Edificio: ENERGY_COST","Edificio: Cost of Energy","Cost of Energy"
"01/01/2022 00:00:00",7.19,8.36,10.22,5.68,238.25,239.95,237.13,0.42,22512.85,317486.78
"01/01/2022 00:30:00",7.57,12.12,9.66,6.59,239.09,240.82,237.87,0.48,22513.09,317490.06
"01/01/2022 01:00:00",6.50,14.04,16.46,8.68,240.06,241.51,238.58,0.64,22513.30,317493.34
"01/01/2022 01:30:00",7.06,5.00,8.93,4.36,240.40,241.93,239.04,0.32,22513.54,317496.66
"01/01/2022 02:00:00",6.66,6.05,10.40,5.29,240.61,241.91,239.05,0.34,22513.75,317499.88
"01/01/2022 02:30:00",7.40,5.82,8.98,4.93,238.98,240.23,237.38,0.32,22513.95,317502.75
"01/01/2022 03:00:00",6.42,12.40,9.62,6.46,239.59,240.86,237.99,0.42,22514.16,317505.69
"01/01/2022 03:30:00",9.87,14.02,15.28,8.50,239.08,240.18,237.54,0.55,22514.39,317508.78
"01/01/2022 04:00:00",21.66,5.45,9.60,8.49,239.04,240.50,237.79,0.55,22514.58,317511.75
"01/01/2022 04:30:00",11.75,9.48,8.21,6.67,239.20,240.39,237.89,0.43,22514.79,317514.72
"01/01/2022 05:00:00",12.35,5.88,10.39,6.65,239.26,240.60,237.98,0.43,22514.98,317517.63
"01/01/2022 05:30:00",6.53,5.76,10.34,5.01,239.54,240.80,238.25,0.32,22515.18,317520.59
"01/01/2022 06:00:00",14.47,13.59,9.60,8.25,239.48,240.74,238.37,0.61,22515.37,317523.63
"01/01/2022 06:30:00",6.62,5.43,16.13,6.44,239.55,240.85,238.21,0.47,22515.60,317527.06
"01/01/2022 07:00:00",6.49,5.69,10.64,5.06,239.30,240.57,237.94,0.37,22515.82,317530.59
"01/01/2022 07:30:00",5.95,10.21,5.96,4.72,239.82,240.93,238.70,0.35,22516.07,317533.81
"01/01/2022 08:00:00",6.24,6.36,7.27,4.46,241.41,242.65,240.46,0.33,22516.29,317536.91
"01/01/2022 08:30:00",20.41,10.59,8.14,8.84,239.96,241.17,239.09,0.65,22516.53,317539.75
"01/01/2022 09:00:00",6.90,7.57,7.79,4.73,239.34,240.62,238.52,0.35,22516.72,317542.34
"01/01/2022 09:30:00",9.51,6.46,5.23,4.70,238.49,239.93,238.09,0.52,22516.87,317544.53
"01/01/2022 10:00:00",4.36,8.86,5.23,4.03,238.17,239.35,237.55,0.45,22517.08,317547.63
"01/01/2022 10:30:00",4.60,3.46,11.35,3.99,237.35,238.68,236.83,0.45,22517.36,317550.94
"01/01/2022 11:00:00",5.61,2.58,4.43,2.67,237.14,238.21,236.30,0.30,22517.57,317554.69
"01/01/2022 11:30:00",3.60,7.64,3.56,3.10,236.31,237.42,235.71,0.35,22517.74,317559.38
"01/01/2022 12:00:00",5.29,2.63,3.95,1.47,235.04,236.22,234.43,0.16,22517.92,317564.16
"01/01/2022 12:30:00",8.40,2.60,4.80,3.42,236.34,237.61,235.63,0.38,22518.10,317568.72
"01/01/2022 13:00:00",3.47,5.44,4.47,2.73,236.31,237.34,235.40,0.20,22518.31,317573.69
"01/01/2022 13:30:00",16.55,3.01,3.67,5.17,236.73,237.99,235.99,0.38,22518.47,317576.75
"01/01/2022 14:00:00",3.85,5.50,5.43,3.08,237.64,238.67,236.37,0.23,22518.62,317579.72
"01/01/2022 14:30:00",16.28,3.15,5.65,5.61,237.47,238.78,236.52,0.41,22518.77,317582.25
"01/01/2022 15:00:00",4.77,5.28,4.56,2.84,238.82,240.05,237.72,0.21,22518.97,317584.91
"01/01/2022 15:30:00",11.08,9.90,5.74,6.17,238.83,239.84,237.95,0.45,22519.13,317587.31
"01/01/2022 16:00:00",6.08,4.63,20.64,7.26,239.81,241.38,239.14,0.53,22519.30,317589.78
"01/01/2022 16:30:00",5.75,5.71,11.17,4.71,236.98,238.60,236.53,0.35,22519.51,317592.53
"01/01/2022 17:00:00",6.19,11.84,7.10,5.61,237.01,238.35,236.26,0.41,22519.70,317595.47
